Segment,Billing_Class,Site_Billing_Status,Site_Status,Consumption,Value_Unbilled,Billing_Frequency,UnbilledDays,RootCause,Voice_Attempt,target
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,97.63,Q,192,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,82.38,Q,162,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,82.38,Q,162,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,82.38,Q,162,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,97.63,Q,192,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,41744,2271.11,Q,140,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,359,141.74,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,381,179.63,M,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,381,179.63,M,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,359,141.74,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,359,141.74,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,23.39,Q,611,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,23.39,Q,611,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,8.14,Q,581,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,8.14,Q,581,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,8.14,Q,581,Outsort,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,15386,709.14,M,95,Impl Perm Est,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,300.12,Q,544,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,316.68,Q,574,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,300.12,Q,544,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,300.12,Q,544,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,283.02,Q,513,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,316.68,Q,574,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,35.78,Q,150,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,2.43,M,95,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,7.3,M,125,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,2.43,M,95,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,2.43,M,95,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,7.3,M,125,Outsort,,0
Others,Industrial & Commercial,Live - Billed & Stop,Dirty,754,26.08,M,95,Outsort,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,34343,1542.97,M,107,No Root Cause Match,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,256651,7476,Q,142,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,256651,7476.41,Q,142,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,76.4,Q,160,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,76.4,Q,160,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,62.08,Q,130,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,3643,232.8,Q,152,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,3643,232.8,Q,152,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,43852,1908.43,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,2452,93.23,M,83,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,9694,447.05,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,9694,447.05,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,9694,447.05,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11444,561.59,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,29865,1348.54,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,29865,1348,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,31697,1443.08,Q,173,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,31697,1443.08,Q,173,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,29865,1348.54,Q,143,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,105894,4522.97,Q,324,Outsort,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,179207,7669.79,Q,385,Outsort,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,155498,6645.86,Q,354,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,179207,7669.79,Q,385,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,179207,7669,Q,385,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,155.78,M,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,119.27,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,119.27,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,119.27,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,155.78,M,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11492,438.55,Q,134,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,74.49,Q,156,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,74.49,Q,156,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,17985,977.86,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,17125,909.12,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,17985,977.86,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,17125,909.12,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,21326,983.57,Q,149,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,15266,827.33,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,38.68,Q,167,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,63,93.74,Q,167,Business Exception,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,63,93.74,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,63,77.37,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,63,77.37,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Clean,347,26.15,Q,139,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,8698,745.27,Q,1500,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,7483,385.77,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,14244,681.78,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,37276,1535.56,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11227,541.92,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,24738,1113.64,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,24738,1113,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9983,520.12,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9565,486.7,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9565,486.7,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9565,486.7,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9983,520.12,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,611,26.29,Q,45,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,5772,309.43,Q,127,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6204,343,Q,157,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6204,343,Q,157,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,446.66,M,340,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,410.15,M,310,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,446.66,M,340,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,410.15,M,310,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,410.15,M,310,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,40.16,M,33,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2445,188.48,Q,152,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2445,188.48,Q,152,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5706,639.67,Q,1256,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4985,570.19,Q,1195,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5737,656.83,Q,1286,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5706,639.67,Q,1256,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5737,656.83,Q,1286,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5706,639.67,Q,1256,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,16895,560.33,Q,127,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,27668,1250.74,Q,135,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,71.58,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,71.58,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,87.26,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,87.26,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,45.03,M,110,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,43.81,M,140,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,43.81,M,140,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,45.03,M,110,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,45.03,M,110,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,94.63,Q,142,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,94.63,Q,142,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11838,579.05,Q,146,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4489,318.14,Q,244,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4266,293,Q,214,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4266,293,Q,214,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4266,293,Q,214,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4489,318.14,Q,244,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4011,9877.3,Q,,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,33641,1474.67,Q,136,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,51527,2223.64,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,51527,2223.64,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,51527,2223,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,29934,1341.08,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6271,665.01,Q,865,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6350,687.22,Q,895,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6271,665.01,Q,865,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6271,665.01,Q,865,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6350,687.22,Q,895,Impl Perm Est,,0
Medium Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5480,589.81,Q,804,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,41344,1837.91,Q,157,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,38329,1694.19,Q,127,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,143066,6629,Q,809,Implausible,,1
Medium Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,143066,6629.33,Q,809,Implausible,,0
Medium Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,138640,6419.87,Q,778,Implausible,,0
Medium Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,151056,6945.4,Q,748,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2276,184.64,Q,158,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2276,184.64,Q,158,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2276,184.64,Q,158,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,964,190.57,M,107,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,964,190.57,M,107,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,221,100.97,Q,166,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,221,84.42,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,221,84.42,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,14704,700.57,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Clean,1881,274.44,Q,138,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,15551,858.01,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,15551,858.01,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,16460,921.09,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,16460,921.09,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,15551,858.01,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,10158,497.63,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,5737,320.94,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,132909,5427.82,Q,178,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,132909,5427.82,Q,178,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,17124,788.44,Q,122,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12397,603.73,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6397,384.89,Q,193,Impl Perm Est,Voice Call Done,1
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5956,347.98,Q,162,Impl Perm Est,Voice Call Done,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,220,120.09,Q,199,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,220,103.4,Q,169,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,220,103.4,Q,169,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,220,103.4,Q,169,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,10484,515.91,Q,138,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Clean,3628,314.95,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,7090,439.32,Q,153,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,7090,439.32,Q,153,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,214.6,Q,144,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,4731,271.84,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,96.83,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,80.14,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,96.83,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,80.14,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,80.14,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,18356,1232.04,Q,982,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,18356,1232,Q,982,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,18514,1256.48,Q,1012,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,13017,963.44,Q,921,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,18356,1232.04,Q,982,Implausible,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Clean,0,32.55,Q,147,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,29095,1311.61,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,32202,1288.09,Q,483,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,32202,1288.09,Q,483,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,31382,1255.28,Q,453,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,31382,1255,Q,453,EMMA,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,27753,1110.12,Q,392,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,31382,1255.28,Q,453,EMMA,,0
Others,Small and Medium Enterprises,Not assigned,Clean,686,118.84,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Clean,686,118.84,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Dirty,686,5718.97,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,65.9,Q,138,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,12.54,Q,24,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,29496,1302.61,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,29496,1302.61,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,35633,1633.04,Q,138,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2121,247.14,M,95,Implausible,Voice Call Done,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,17986,1249,M,126,No Root Cause Match,Voice Call Done,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,17836,840.98,Q,151,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,107.17,Q,186,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,7.3,M,6,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,33561,906.02,M,97,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,33561,906.02,M,97,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,331.43,Q,837,Implausible,Voice Call Done,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,349.61,Q,868,Implausible,Voice Call Done,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,251,200.13,Q,323,Implausible,,1
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,251,7084.38,Q,,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5362,323.77,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5362,323.77,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5061,294.86,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5061,294.86,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5061,294.86,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,49.1,Q,272,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,32.55,Q,242,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,49.1,Q,272,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,32.55,Q,242,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,32.55,Q,242,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,4339,301,Q,138,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,20377,1028.87,Q,191,Business Exception,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,20377,1028.87,Q,191,Business Exception,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,198755,8141.53,Q,269,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,198755,8141.53,Q,269,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,27133,994.5,Q,239,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,27133,994.5,Q,239,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,27133,994.5,Q,239,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,75.58,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,22,784.39,M,492,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,22,710.15,M,431,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,22,784.39,M,492,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,56,2029.19,M,522,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,56,2029.19,M,522,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,22,784.39,M,492,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,327.09,Q,873,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,311.41,Q,843,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,311.41,Q,843,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,295.21,Q,812,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,327.09,Q,873,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,311.41,Q,843,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,70.62,Q,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,87.17,Q,158,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,87.17,Q,158,Impl Perm Est,,0
Others,Small and Medium Enterprises,Not assigned,Clean,5985.6,119.71,Q,146,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,328.81,Q,877,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,311.71,Q,846,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,345.36,Q,907,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,328.81,Q,877,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,345.36,Q,907,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,328.81,Q,877,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,118.05,M,97,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,118.05,M,97,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1071,127.7,Q,149,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,278,104.75,Q,167,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,267,87.58,Q,137,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,267,87.58,Q,137,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,36089,2406.25,M,278,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1922,386.85,Q,717,Impl Perm Est,,1
